"","Date_time","Hatchery Summer Steelhead","Wild Summer Steelhead","Summer Steelhead RM","Summer Steelhead LM","Hatchery Spring Chinook","Wild Spring Chinook","Spring Chinook RM","Spring Chinook LM","No Mark Sockeye","Sockeye RM","Sockeye LM","Fall Chinook","Bull Trout","Rainbow Trout","Total","Year","Season","Month","Mean Temperature"
"89",1994-09-01,159,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,1994,"Summer","September",NA
"90",1994-10-01,219,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,1994,"Fall","October",NA
"91",1995-06-01,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1995,"Spring","June",NA
"92",1995-07-01,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,1995,"Summer","July",NA
"93",1995-08-01,58,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,1995,"Summer","August",NA
"94",1995-09-01,710,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,1995,"Summer","September",NA
"95",1995-10-01,987,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,1995,"Fall","October",NA
"96",1996-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,"Spring","June",NA
"97",1996-07-01,14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,1996,"Summer","July",NA
"98",1996-08-01,61,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,1996,"Summer","August",NA
"99",1996-09-01,1048,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,NA,NA,NA,1996,"Summer","September",NA
"100",1996-10-01,1188,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,NA,NA,NA,1996,"Fall","October",NA
"101",1997-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,"Spring","June",NA
"102",1997-07-01,13,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,1997,"Summer","July",NA
"103",1997-08-01,53,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,1997,"Summer","August",NA
"104",1997-09-01,965,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,NA,NA,NA,1997,"Summer","September",NA
"105",1997-10-01,187,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,1997,"Fall","October",NA
"106",1998-06-01,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1998,"Spring","June",NA
"107",1998-07-01,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,1998,"Summer","July",NA
"108",1998-08-01,33,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,1998,"Summer","August",NA
"109",1998-09-01,1234,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,NA,NA,NA,1998,"Summer","September",NA
"110",1998-10-01,372,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,1998,"Fall","October",NA
"111",1999-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,"Spring","June",NA
"112",1999-07-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1999,"Summer","July",NA
"113",1999-08-01,78,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,1999,"Summer","August",NA
"114",1999-09-01,1247,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,1999,"Summer","September",NA
"115",1999-10-01,614,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,1999,"Fall","October",NA
"116",2000-06-01,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2000,"Spring","June",NA
"117",2000-07-01,13,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2000,"Summer","July",NA
"118",2000-08-01,70,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,2000,"Summer","August",NA
"119",2000-09-01,1080,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,NA,NA,2000,"Summer","September",NA
"120",2000-10-01,472,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,2000,"Fall","October",NA
"121",2001-06-01,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2001,"Spring","June",NA
"122",2001-07-01,32,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,2001,"Summer","July",NA
"123",2001-08-01,137,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,2001,"Summer","August",NA
"124",2001-09-01,2470,477,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,NA,NA,NA,2001,"Summer","September",NA
"125",2001-10-01,1263,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,NA,NA,NA,2001,"Fall","October",NA
"126",2002-06-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2002,"Spring","June",NA
"127",2002-07-01,36,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,2002,"Summer","July",NA
"128",2002-08-01,142,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,2002,"Summer","August",NA
"129",2002-09-01,1953,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA,NA,NA,2002,"Summer","September",NA
"130",2002-10-01,1205,424,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,NA,NA,2002,"Fall","October",NA
"131",2003-06-01,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2003,"Spring","June",NA
"132",2003-07-01,28,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,2003,"Summer","July",NA
"133",2003-08-01,68,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,2003,"Summer","August",NA
"134",2003-09-01,1000,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,NA,NA,NA,2003,"Summer","September",NA
"135",2003-10-01,658,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,NA,NA,NA,2003,"Fall","October",NA
"136",2004-06-01,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2004,"Spring","June",NA
"137",2004-07-01,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,2004,"Summer","July",NA
"138",2004-08-01,35,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,2004,"Summer","August",NA
"139",2004-09-01,559,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,2004,"Summer","September",NA
"140",2004-10-01,309,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,NA,NA,NA,2004,"Fall","October",NA
"141",2005-06-01,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,"Spring","June",NA
"142",2005-07-01,16,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2005,"Summer","July",NA
"143",2005-08-01,83,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,2005,"Summer","August",NA
"144",2005-09-01,816,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,NA,NA,NA,2005,"Summer","September",NA
"145",2005-10-01,647,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,437,NA,NA,NA,2005,"Fall","October",NA
"146",2006-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Spring","June",10.3
"147",2006-07-01,22,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2006,"Summer","July",12.3
"148",2006-08-01,70,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,2006,"Summer","August",13.7
"149",2006-09-01,1684,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,2006,"Summer","September",14.2
"150",2006-10-01,829,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,NA,NA,NA,2006,"Fall","October",13.5
"151",2007-06-01,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2007,"Spring","June",10.9
"152",2007-07-01,14,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2007,"Summer","July",12.3
"153",2007-08-01,25,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,2007,"Summer","August",13.9
"154",2007-09-01,1256,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,2007,"Summer","September",14.6
"155",2007-10-01,830,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,NA,NA,NA,2007,"Fall","October",13.6
"156",2008-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2008,"Spring","June",10.2
"157",2008-07-01,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2008,"Summer","July",11.8
"158",2008-08-01,68,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,2008,"Summer","August",13.5
"159",2008-09-01,936,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,NA,NA,2008,"Summer","September",14
"160",2008-10-01,552,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,NA,NA,NA,2008,"Fall","October",13.4
"161",2009-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Spring","June",10.3
"162",2009-07-01,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2009,"Summer","July",12.4
"163",2009-08-01,181,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,2009,"Summer","August",13.8
"164",2009-09-01,1628,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,2009,"Summer","September",14.4
"165",2009-10-01,927,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,NA,NA,NA,2009,"Fall","October",13.7
"166",2010-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Spring","June",12.2
"167",2010-07-01,18,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,2010,"Summer","July",14.5
"168",2010-08-01,60,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,2010,"Summer","August",15.2
"169",2010-09-01,899,435,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,2010,"Summer","September",13.7
