Location,Date_time,Conductivity in μS/cm,Dissolved Oxygen in %,Dissolved Oxygen in mg/L,pH in NA,Temperature
Rattlesnake,2015-06-03T00:00:00Z,NA,114,11.09,8.29,16.41
Rattlesnake,2015-06-18T00:00:00Z,NA,120.8,13.71,7.45,18.51
Rattlesnake,2015-07-08T00:00:00Z,78.6,118.2,10.63,9.95,20.6
Rattlesnake,2015-07-23T00:00:00Z,70.9,122.8,11.77,9.26,17.4
Rattlesnake,2015-08-06T00:00:00Z,NA,104.2,10.11,8.53,16.9
Rattlesnake,2015-08-20T00:00:00Z,NA,113,10.81,8.47,17.5
Rattlesnake,2015-09-02T00:00:00Z,NA,109,10.67,8.46,16.5
Rattlesnake,2015-09-17T00:00:00Z,124,105,10.77,7.66,14.16
Rattlesnake,2015-10-22T00:00:00Z,118.3,116.6,11.89,8.77,13.51
Rattlesnake,2015-12-21T00:00:00Z,114.7,115.6,12.8,8.1,6.9
Rattlesnake,2016-02-22T00:00:00Z,106,106,12.29,8.07,6.97
Rattlesnake,2016-04-20T00:00:00Z,122.4,120.5,12.01,8.21,14.18
Rattlesnake,2016-05-04T00:00:00Z,123.3,110.6,11.38,8.2,14
Rattlesnake,2016-05-18T00:00:00Z,117.9,107,10.55,8.23,15.36
Rattlesnake,2016-06-08T00:00:00Z,120.1,108.6,10.09,8.37,17.73
Rattlesnake,2016-06-22T00:00:00Z,115.9,111.1,10.85,8.72,15.77
Rattlesnake,2016-07-06T00:00:00Z,122.4,108.6,10.54,8.94,16.77
Rattlesnake,2016-07-20T00:00:00Z,115.4,107,10.64,8.31,15.61
Rattlesnake,2016-08-03T00:00:00Z,119.3,104.7,10.24,8.44,16.41
Rattlesnake,2016-08-17T00:00:00Z,116.4,103.5,9.96,8.26,17.18
Rattlesnake,2016-09-07T00:00:00Z,112.4,107.2,10.82,8.22,14.89
Rattlesnake,2016-09-21T00:00:00Z,112.2,102.2,10.55,8.15,13.86
Rattlesnake,2016-10-19T00:00:00Z,111.7,103.5,11.28,8.1,11.52
Rattlesnake,2017-06-13T00:00:00Z,62.3,108.5,11.02,8.35,14.65
Rattlesnake,2017-07-13T00:00:00Z,113.9,110.2,10.37,8.28,18.23
Rattlesnake,2017-08-15T00:00:00Z,112.1,105.7,10.44,8.42,15.99
Rattlesnake,2017-09-11T00:00:00Z,108.2,110.1,11.03,7.99,15.28
Bull Run,2015-05-06T00:00:00Z,NA,104.1,10.63,8.74,14.5
Bull Run,2015-05-21T00:00:00Z,NA,114.2,11.24,8.71,16.1
Bull Run,2015-06-04T00:00:00Z,NA,108.1,10.69,8.49,15.6
Bull Run,2015-06-17T00:00:00Z,NA,120.3,10.88,7.75,19.93
Bull Run,2015-07-09T00:00:00Z,76.4,112.8,10.13,9.27,20.6
Bull Run,2015-07-22T00:00:00Z,84.2,132.3,12.23,8.5,19.1
Bull Run,2015-08-05T00:00:00Z,NA,127.6,11.84,9.52,19
Bull Run,2015-08-19T00:00:00Z,NA,130.9,12.21,8.91,18.7
Bull Run,2015-09-03T00:00:00Z,118,114.1,11.36,8.74,15.6
Bull Run,2015-09-16T00:00:00Z,123,123.9,12.52,8.2,14.79
Bull Run,2015-10-21T00:00:00Z,119,117.7,11.93,8.94,13.54
Bull Run,2015-12-15T00:00:00Z,NA,118.5,13.52,7.87,6.51
Bull Run,2016-02-24T00:00:00Z,108,113.5,12.43,8.52,8.39
Bull Run,2016-04-19T00:00:00Z,120.1,124,12.21,8.63,15.18
Bull Run,2016-05-03T00:00:00Z,124.2,126,11.45,8.47,16.44
Bull Run,2016-05-17T00:00:00Z,115.6,116.9,11.25,8.53,16.36
Bull Run,2016-06-07T00:00:00Z,120.6,123.7,10.95,8.51,19.69
Bull Run,2016-06-21T00:00:00Z,116.4,134.1,11.89,8.62,17.96
Bull Run,2016-07-05T00:00:00Z,121.8,119.3,11.04,9.24,19.13
Bull Run,2016-07-19T00:00:00Z,114.5,129.7,12.42,8.87,17.4
Bull Run,2016-08-02T00:00:00Z,119.5,121.9,11.46,8.88,18.28
Bull Run,2016-08-16T00:00:00Z,116.6,123.9,11.47,8.82,19.07
Bull Run,2016-09-06T00:00:00Z,110.4,122.3,11.91,8.86,16.58
Bull Run,2016-09-20T00:00:00Z,111.8,123.7,12.24,8.85,15.86
Bull Run,2016-10-18T00:00:00Z,112.2,107.3,11.42,8.39,12.53
Kloan Rapids,2015-02-27T00:00:00Z,NA,NA,13.13,8.59,8.27
Kloan Rapids,2015-05-06T00:00:00Z,NA,104.3,10.61,8.66,14.6
Kloan Rapids,2015-05-21T00:00:00Z,NA,108.2,10.8,8.46,15.3
Kloan Rapids,2015-06-04T00:00:00Z,NA,113,10.94,9.07,16.58
Kloan Rapids,2015-06-17T00:00:00Z,NA,118.6,10.8,7.77,19.51
Kloan Rapids,2015-07-09T00:00:00Z,74.1,124.7,10.94,9.49,22.1
Kloan Rapids,2015-07-22T00:00:00Z,81.7,128,11.64,8.66,20
Kloan Rapids,2015-08-05T00:00:00Z,NA,129.3,11.87,9.68,19.5
Kloan Rapids,2015-08-19T00:00:00Z,NA,135.2,12.33,9.17,19.8
Kloan Rapids,2015-09-03T00:00:00Z,118,124,12.19,8.94,16.4
Kloan Rapids,2015-09-16T00:00:00Z,123,125.5,12.65,8.36,15.19
Kloan Rapids,2015-10-21T00:00:00Z,199.1,117.9,11.91,8.95,13.76
Kloan Rapids,2015-12-16T00:00:00Z,118.9,117.1,13.23,7.84,6.84
Kloan Rapids,2016-02-25T00:00:00Z,108.1,116.9,12.98,7.98,7.85
Kloan Rapids,2016-04-19T00:00:00Z,120.3,124.5,12.07,8.59,15.81
Kloan Rapids,2016-05-03T00:00:00Z,124.2,125.2,11.24,8.6,16.99
Kloan Rapids,2016-05-17T00:00:00Z,116.5,118.3,11.19,8.48,17.24
Kloan Rapids,2016-06-07T00:00:00Z,120.1,129.5,10.99,8.51,20.43
Kloan Rapids,2016-06-21T00:00:00Z,116.5,134.8,11.79,8.67,18.68
Kloan Rapids,2016-07-05T00:00:00Z,123,114.1,10.52,9.27,19.29
Kloan Rapids,2016-07-19T00:00:00Z,114.4,131.5,12.4,9,18.18
Kloan Rapids,2016-08-02T00:00:00Z,119.7,123.1,11.46,8.99,18.79
Kloan Rapids,2016-08-16T00:00:00Z,116.7,126.6,11.54,8.96,19.85
Kloan Rapids,2016-09-06T00:00:00Z,110.4,118.1,11.46,8.9,16.77
Kloan Rapids,2016-09-20T00:00:00Z,111.8,120,11.84,8.79,16.02
Kloan Rapids,2016-10-18T00:00:00Z,112.2,105,11.17,8.35,12.58
River Mouth,2015-05-06T00:00:00Z,NA,100.3,10.45,8.49,13.5
River Mouth,2015-05-21T00:00:00Z,NA,101.2,10.34,8.14,14.4
River Mouth,2015-06-04T00:00:00Z,NA,112.8,10.68,8.84,17.6
River Mouth,2015-06-17T00:00:00Z,NA,108.1,10.13,7.26,18.14
River Mouth,2015-07-09T00:00:00Z,79.2,119.5,10.21,9.05,23.3
River Mouth,2015-07-22T00:00:00Z,81.1,115.6,10.49,8.69,20.2
River Mouth,2015-08-05T00:00:00Z,NA,112.6,10.66,9.29,18
River Mouth,2015-08-19T00:00:00Z,NA,120.8,10.99,9.14,19.11
River Mouth,2015-09-03T00:00:00Z,118,115,11.28,8.39,16.31
River Mouth,2015-09-16T00:00:00Z,123,116.9,11.72,8.35,15.28
River Mouth,2015-10-21T00:00:00Z,118.9,112.3,11.32,8.93,13.84
River Mouth,2015-12-16T00:00:00Z,118.8,118.3,13.32,8.07,6.93
River Mouth,2016-02-25T00:00:00Z,108.3,118.8,13.04,8.25,8.33
River Mouth,2016-04-19T00:00:00Z,119.4,113.2,11.42,8.25,14.15
River Mouth,2016-05-03T00:00:00Z,125,120.3,10.77,8.6,17.18
River Mouth,2016-05-17T00:00:00Z,116.6,115.9,10.85,8.54,17.8
River Mouth,2016-06-07T00:00:00Z,120.5,123.7,10.7,8.45,20.91
River Mouth,2016-06-21T00:00:00Z,115.1,122.1,11.15,8.57,16.57
