"","Date_time","Mean Temperature","Year","Season","SUMMER.STEELHEAD_Hatchery","SUMMER.STEELHEAD_Wild","SUMMER.STEELHEAD_RM","SUMMER.STEELHEAD_LM","SPRING.CHINOOK_Hachery","SPRING.CHINOOK_Wild","SPRING.CHINOOK_RM","SPRING.CHINOOK_LM","Sockeye_NoMark","Sockeye_RM","Sockeye_LM","Fall.Chinook","Bull.Trout","Rainbow.Trout","Total"
"52",2014-05-09,12.1,2014,"Spring",NA,1,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,21,26
"53",2014-05-12,12.5,2014,"Spring",NA,NA,NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,10,21
"54",2014-05-14,12.6,2014,"Spring",NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,NA,6,22
"55",2014-05-16,12.7,2014,"Spring",NA,NA,NA,NA,26,2,NA,1,NA,NA,NA,NA,NA,8,37
"56",2014-05-19,13.2,2014,"Spring",NA,NA,NA,NA,15,3,1,NA,NA,NA,NA,NA,NA,3,22
"57",2014-05-21,13.4,2014,"Spring",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2
"58",2014-05-23,12.8,2014,"Spring",NA,NA,NA,NA,27,NA,1,NA,NA,NA,NA,NA,1,29,58
"59",2014-05-26,13.9,2014,"Spring",NA,NA,NA,NA,13,NA,2,2,NA,NA,NA,NA,NA,22,39
"60",2014-05-28,13.2,2014,"Spring",NA,NA,NA,NA,44,2,1,NA,NA,NA,NA,NA,1,27,75
"61",2014-05-30,13.7,2014,"Spring",NA,NA,NA,NA,38,NA,3,NA,NA,NA,NA,NA,NA,14,55
"62",2014-06-02,13.3,2014,"Spring",NA,NA,NA,NA,38,1,1,NA,NA,NA,NA,NA,NA,7,47
"63",2014-06-04,12.3,2014,"Spring",NA,NA,NA,NA,14,1,NA,NA,NA,NA,NA,NA,NA,5,20
"64",2014-06-06,12.3,2014,"Spring",NA,NA,NA,NA,21,1,NA,NA,NA,NA,NA,NA,1,3,26
"65",2014-06-09,12.8,2014,"Spring",NA,NA,NA,NA,34,NA,1,NA,NA,NA,NA,NA,NA,24,59
"66",2014-06-11,12.9,2014,"Spring",NA,NA,NA,NA,23,NA,1,NA,NA,NA,NA,NA,NA,21,45
"67",2014-06-13,12.8,2014,"Spring",NA,NA,NA,NA,12,NA,1,NA,NA,NA,NA,NA,NA,12,25
"68",2014-06-16,13.2,2014,"Spring",NA,NA,NA,NA,14,2,NA,NA,NA,NA,NA,NA,NA,24,40
"69",2014-06-18,12.9,2014,"Spring",NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,8,14
"70",2014-06-19,12.7,2014,"Spring",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
